Port,Status,Service,Project,Notes,Date_Allocated
80,ALLOCATED,HTTP,Coolify/Traefik,Standard HTTP port,
443,ALLOCATED,HTTPS,Coolify/Traefik,Standard HTTPS + UDP,
3000,ALLOCATED,Unknown,Coolify,Internal service,
3101,ALLOCATED,Unknown,Coolify,External access,
5001,ALLOCATED,Unknown,Coolify,External access,
5432,ALLOCATED,PostgreSQL,Coolify,Database service,
5555,ALLOCATED,Unknown,Coolify,External access,
6001,ALLOCATED,Unknown,Coolify,Port range 6001-6002,
6002,ALLOCATED,Unknown,Coolify,Port range 6001-6002,
6379,ALLOCATED,Redis,Coolify,Redis service,
6380,ALLOCATED,Redis,Coolify,Redis service alt,
8000,ALLOCATED,HTTP,Coolify,Internal service,
8001,ALLOCATED,HTTP,Coolify,External access,
8010,ALLOCATED,HTTP,Coolify,External access,
8030,ALLOCATED,HTTP,Coolify,External access,
8040,ALLOCATED,HTTP,Coolify,External access,
8080,ALLOCATED,HTTP,Coolify/Traefik,Traefik dashboard,
8090,ALLOCATED,HTTP,Coolify,External access,
8095,ALLOCATED,HTTP,Coolify,External access,
8096,ALLOCATED,HTTP,Frappe-Multitenancy,Tenant 1 Frontend,2024-01-01
8097,ALLOCATED,HTTP,Frappe-Multitenancy,Tenant 2 Frontend,2024-01-01
8098,ALLOCATED,HTTP,Frappe-Multitenancy,Tenant 3 Frontend,2024-01-01
8020,AVAILABLE,,,Available for allocation,
8021,AVAILABLE,,,Available for allocation,
8022,AVAILABLE,,,Available for allocation,
8023,AVAILABLE,,,Available for allocation,
8024,AVAILABLE,,,Available for allocation,
8025,AVAILABLE,,,Available for allocation,
8026,AVAILABLE,,,Available for allocation,
8027,AVAILABLE,,,Available for allocation,
8028,AVAILABLE,,,Available for allocation,
8029,AVAILABLE,,,Available for allocation,
8031,AVAILABLE,,,Available for allocation,
8032,AVAILABLE,,,Available for allocation,
8033,AVAILABLE,,,Available for allocation,
8034,AVAILABLE,,,Available for allocation,
8035,AVAILABLE,,,Available for allocation,
8036,AVAILABLE,,,Available for allocation,
8037,AVAILABLE,,,Available for allocation,
8038,AVAILABLE,,,Available for allocation,
8039,AVAILABLE,,,Available for allocation,
8041,AVAILABLE,,,Available for allocation,
8042,AVAILABLE,,,Available for allocation,
8043,AVAILABLE,,,Available for allocation,
8044,AVAILABLE,,,Available for allocation,
8045,AVAILABLE,,,Available for allocation,
8046,AVAILABLE,,,Available for allocation,
8047,AVAILABLE,,,Available for allocation,
8048,AVAILABLE,,,Available for allocation,
8049,AVAILABLE,,,Available for allocation,
8050,AVAILABLE,,,Available for allocation,
8051,AVAILABLE,,,Available for allocation,
8052,AVAILABLE,,,Available for allocation,
8053,AVAILABLE,,,Available for allocation,
8054,AVAILABLE,,,Available for allocation,
8055,AVAILABLE,,,Available for allocation,
8056,AVAILABLE,,,Available for allocation,
8057,AVAILABLE,,,Available for allocation,
8058,AVAILABLE,,,Available for allocation,
8059,AVAILABLE,,,Available for allocation,
8060,AVAILABLE,,,Available for allocation,
8061,AVAILABLE,,,Available for allocation,
8062,AVAILABLE,,,Available for allocation,
8063,AVAILABLE,,,Available for allocation,
8064,AVAILABLE,,,Available for allocation,
8065,AVAILABLE,,,Available for allocation,
8066,AVAILABLE,,,Available for allocation,
8067,AVAILABLE,,,Available for allocation,
8068,AVAILABLE,,,Available for allocation,
8069,AVAILABLE,,,Available for allocation,
8070,AVAILABLE,,,Available for allocation,
8071,AVAILABLE,,,Available for allocation,
8072,AVAILABLE,,,Available for allocation,
8073,AVAILABLE,,,Available for allocation,
8074,AVAILABLE,,,Available for allocation,
8075,AVAILABLE,,,Available for allocation,
8076,AVAILABLE,,,Available for allocation,
8077,AVAILABLE,,,Available for allocation,
8078,AVAILABLE,,,Available for allocation,
8079,AVAILABLE,,,Available for allocation,
8081,AVAILABLE,,,Available for allocation,
8082,AVAILABLE,,,Available for allocation,
8083,AVAILABLE,,,Available for allocation,
8084,AVAILABLE,,,Available for allocation,
8085,AVAILABLE,,,Available for allocation,
8086,AVAILABLE,,,Available for allocation,
8087,AVAILABLE,,,Available for allocation,
8088,AVAILABLE,,,Available for allocation,
8089,AVAILABLE,,,Available for allocation,
8091,AVAILABLE,,,Available for allocation,
8092,AVAILABLE,,,Available for allocation,
8093,AVAILABLE,,,Available for allocation,
8094,AVAILABLE,,,Available for allocation,
8099,AVAILABLE,,,Available for allocation,
9001,AVAILABLE,,,Available for allocation,
9002,AVAILABLE,,,Available for allocation,
9003,AVAILABLE,,,Available for allocation,
9004,AVAILABLE,,,Available for allocation,
9005,AVAILABLE,,,Available for allocation,
9006,AVAILABLE,,,Available for allocation,
9007,AVAILABLE,,,Available for allocation,
9008,AVAILABLE,,,Available for allocation,
9009,AVAILABLE,,,Available for allocation,
9010,AVAILABLE,,,Available for allocation, 
